2026-03-19 20:02:44,909 | CRITICAL | app.core.config | Configuration error: 1 validation error for Settings
rate_limit
  Field required [type=missing, input_value={'env': 'dev', 'app': {'d...e', 'duration': 'true'}}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/missing
2026-03-19 20:04:24,369 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:04:24,761 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:05:38,184 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:05:38,583 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:08:35,389 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:08:36,890 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:08:39,267 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:08:39,655 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:11:54,167 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:11:59,663 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:12:06,177 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:12:34,809 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:12:39,304 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:14:31,769 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:16:48,940 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:17:03,494 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:17:05,982 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:17:22,549 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:17:24,041 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:17:26,466 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:17:30,923 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:17:57,503 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:17:59,949 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:18:05,773 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:18:27,338 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:18:40,879 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:18:42,385 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:18:50,855 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:19:22,496 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:19:24,995 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:19:26,458 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:19:29,960 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:19:39,470 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:19:41,031 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:19:42,473 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:19:44,927 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:19:47,394 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:19:48,847 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:19:51,293 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:20:18,850 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:20:21,299 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:20:30,171 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:20:32,622 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:20:34,056 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:20:35,519 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:20:41,379 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:20:46,840 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:20:58,321 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:21:20,860 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:21:43,128 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:22:11,696 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:22:15,562 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:22:37,076 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:22:40,520 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:22:47,986 | INFO | app.core.config | Settings loaded for env=dev
